re1,re2,orthogonality
BseYI,PvuI,4
BseYI,BstKTI,4
BseYI,RgaI,4
BseYI,PacI,4
BseYI,PciI,1
BseYI,NcoI,1
BseYI,BspHI,1
BseYI,NlaIII,4
BseYI,SphI,4
BseYI,BseYI,0
BseYI,GsaI,4
BseYI,AgeI,1
BseYI,XmaI,1
BseYI,MreI,1
BseYI,KroI,1
BseYI,BspEI,1
BseYI,FseI,4
BseYI,AclI,4
BseYI,HpySE526I,4
BseYI,BspDI,4
BseYI,AciI,4
BseYI,HpaII,4
BseYI,Hin6I,4
BseYI,NarI,4
BseYI,TaqI,4
BseYI,BstBI,4
BseYI,HhaI,4
BseYI,MluI,1
BseYI,MauBI,1
BseYI,BssHII,1
BseYI,AscI,1
BseYI,SpeI,1
BseYI,AvrII,1
BseYI,NheI,1
BseYI,XbaI,1
BseYI,BspOI,4
BseYI,BglII,1
BseYI,BamHI,1
BseYI,BclI,1
BseYI,SacII,4
BseYI,SspDI,1
BseYI,BseX3I,1
BseYI,NotI,1
BseYI,PspOMI,1
BseYI,ApaI,4
BseYI,BsiWI,1
BseYI,Asp718I,1
BseYI,BsrGI,1
BseYI,KpnI,4
BseYI,PshBI,4
BseYI,NdeI,4
BseYI,BfaI,4
BseYI,Csp6I,4
BseYI,MseI,4
BseYI,BbvCI,4
BseYI,AbsI,1
BseYI,SgrDI,1
BseYI,XhoI,1
BseYI,SalI,1
BseYI,ApaLI,1
BseYI,EcoT22I,4
BseYI,SdaI,4
BseYI,PstI,4
BseYI,AflII,1
GsaI,EcoRI,4
GsaI,BauI,4
GsaI,TaiI,1
GsaI,AatII,1
GsaI,HindIII,4
GsaI,SacI,1
GsaI,PvuI,4
GsaI,BstKTI,4
GsaI,RgaI,4
GsaI,PacI,4
GsaI,PciI,4
GsaI,NcoI,4
GsaI,BspHI,4
GsaI,NlaIII,1
GsaI,SphI,1
GsaI,BseYI,4
GsaI,GsaI,0
GsaI,AgeI,4
GsaI,XmaI,4
GsaI,MreI,4
GsaI,KroI,4
GsaI,BspEI,4
GsaI,FseI,1
GsaI,AclI,4
GsaI,HpySE526I,4
GsaI,BspDI,4
GsaI,AciI,4
GsaI,HpaII,4
GsaI,Hin6I,4
GsaI,NarI,4
GsaI,TaqI,4
GsaI,BstBI,4
GsaI,HhaI,4
GsaI,MluI,4
GsaI,MauBI,4
GsaI,BssHII,4
GsaI,AscI,4
GsaI,SpeI,4
GsaI,AvrII,4
GsaI,NheI,4
GsaI,XbaI,4
GsaI,BspOI,1
GsaI,BglII,4
GsaI,BamHI,4
GsaI,BclI,4
GsaI,SacII,4
GsaI,SspDI,4
GsaI,BseX3I,4
GsaI,NotI,4
GsaI,PspOMI,4
GsaI,ApaI,1
GsaI,BsiWI,4
GsaI,Asp718I,4
GsaI,BsrGI,4
GsaI,KpnI,1
GsaI,PshBI,4
GsaI,NdeI,4
GsaI,BfaI,4
GsaI,Csp6I,4
GsaI,MseI,4
GsaI,BbvCI,4
GsaI,AbsI,4
GsaI,SgrDI,4
GsaI,XhoI,4
GsaI,SalI,4
GsaI,ApaLI,4
