,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
HpyAXVIII,False,False,False,False,False,False,False,False
Bag18758I,True,False,True,True,True,False,True,True
BinI,False,False,False,False,False,False,False,False
Eco57MI,False,False,False,False,False,False,False,False
PciSI,False,False,False,False,False,True,False,False
BseXI,False,False,False,False,False,False,False,False
Eam1104I,False,False,False,False,False,False,False,False
Mva1269I,True,False,True,False,False,False,True,False
BspQI,False,False,False,False,False,True,False,False
Cac8I,False,False,False,False,False,False,False,False
BstAPI,False,False,False,False,False,False,False,False
LguI,False,False,False,False,False,True,False,False
BstV1I,False,False,False,False,False,False,False,False
Hpy99I,False,False,False,False,False,False,False,False
Lsp48III,False,False,False,False,False,False,False,False
BcoDI,False,False,False,False,False,False,False,False
Bpu14I,False,True,True,True,True,True,True,True
AvaI,True,False,True,False,False,False,True,False
NmeDI,False,False,False,False,False,False,False,False
Adh6U21I,False,False,False,False,False,False,False,False
SurP32aII,False,False,False,False,False,False,False,False
HgiJII,False,False,False,False,False,False,True,True
BspMI,False,False,True,True,True,True,True,True
Esp3I,False,False,False,False,False,False,False,False
ArsI,True,True,True,True,True,True,True,False
Bbr57III,False,False,False,False,False,False,True,False
BbuB31II,False,False,False,False,False,False,False,False
AsuI,False,False,False,False,False,False,False,False
MspCI,True,True,True,True,True,True,True,True
Ecl136II,True,False,True,True,True,True,True,True
MmeI,False,False,False,False,False,False,False,False
TspGWI,False,False,False,False,False,False,False,False
BsaAI,False,True,False,False,False,False,True,False
ApyPI,False,False,False,False,False,False,False,False
EcoMVII,False,False,False,False,False,False,False,False
MspGI,True,True,False,False,False,False,True,True
NruI,True,True,True,False,False,True,True,True
KpnNIH50I,False,True,True,True,True,True,True,False
Bse21I,False,False,True,True,True,True,True,True
BisI,False,False,False,False,False,False,False,False
BsiHKCI,True,False,True,False,False,False,True,False
BmgT120I,False,False,False,False,False,False,False,False
AlwI,False,False,False,False,False,False,False,False
AccII,False,False,False,False,False,False,False,False
BspTI,True,True,True,True,True,True,True,True
PsuGI,False,False,False,False,False,False,False,False
FtnUV,False,False,False,False,False,True,False,True
SenSARA26III,False,False,False,False,False,False,False,False
PfoI,False,False,False,False,False,False,False,False
BsmI,True,False,True,False,False,False,True,False
BtsIMutI,False,False,False,False,False,False,False,False
HinP1I,False,False,False,False,False,False,False,False
HspAI,False,False,False,False,False,False,False,False
Bse3DI,False,False,False,False,False,False,False,False
AcoY31II,False,False,False,False,False,False,False,False
MstI,False,False,False,False,False,False,False,False
SdeAI,False,False,False,False,False,False,False,False
Eco88I,True,False,True,False,False,False,True,False
BstSFI,False,False,False,False,False,False,False,False
PsyI,False,False,False,False,False,True,True,False
EcoT14I,True,True,False,False,False,True,True,False
SgeI,False,False,False,False,False,False,False,False
CsiI,True,True,True,True,True,True,True,True
Hpy188III,False,False,False,False,False,False,False,False
CviKI_1,False,False,False,False,False,False,False,False
PspN4I,False,False,False,False,False,False,False,False
MaeIII,False,False,False,False,False,False,False,False
BssSI,False,False,False,False,False,False,False,False
Lsp1109I,False,False,False,False,False,False,False,False
AbsI,True,True,True,True,True,True,True,True
Pst273I,True,False,False,False,False,True,True,True
PpiP13II,False,False,False,False,False,False,True,True
RleAI,False,False,True,True,True,True,True,True
Bga514I,False,False,False,False,False,False,False,False
Ppu10I,True,True,True,False,False,True,True,True
Fco1691IV,False,False,False,False,False,False,False,False
SelI,False,False,False,False,False,False,False,False
SspD5I,False,False,False,False,False,False,False,False
HaeI,False,False,False,False,False,False,False,False
SdeOSI,False,False,False,False,False,False,False,False
BccI,False,False,False,False,False,False,False,False
AloI,True,False,False,False,False,False,True,True
HaeIII,False,False,False,False,False,False,False,False
Hpy8I,False,False,False,False,False,False,False,False
ApeKI,False,False,False,False,False,False,False,False
BbvCI,True,True,True,True,True,True,True,True
BstKTI,False,False,False,False,False,False,False,False
FaeI,False,False,False,False,False,False,False,False
Mph1103I,True,True,True,False,False,True,True,True
Ple19I,False,False,False,False,False,False,False,False
RigI,True,True,True,True,True,True,True,True
Sfr303I,True,True,True,True,True,True,True,True
Sse8387I,True,True,True,True,True,True,True,True
Zsp2I,True,True,True,False,False,True,True,True
PlaDI,False,False,False,False,False,False,False,False
Bau1417V,False,False,False,False,False,False,False,False
UbaF9I,True,True,True,False,False,True,True,True
AchA6III,False,False,False,False,False,False,False,False
XagI,False,True,False,False,False,False,True,True
BfaI,False,False,False,False,False,False,False,False
UbaF11I,False,False,False,False,False,False,False,False
UbaPI,False,False,False,False,False,False,False,False
CviRI,False,False,False,False,False,False,False,False
SplI,True,False,True,True,True,True,True,True
Nli3877I,True,False,True,False,False,False,True,False
DraRI,False,False,False,False,False,False,False,False
AlwNI,False,False,False,False,False,False,False,False
BseLI,False,False,False,False,False,False,False,False
RdeGBIII,False,False,False,False,False,False,False,False
BloAII,False,False,False,False,False,False,False,False
FspPK15I,False,False,False,False,False,True,False,False
RspPBTS2III,True,True,True,True,True,True,True,True
FmuI,False,False,False,False,False,False,False,False
Hpy99XXII,False,False,False,False,False,False,False,False
AccBSI,False,False,False,False,False,False,False,False
Hpy99XIII,False,False,False,False,False,False,False,False
Csp6I,False,False,False,False,False,False,False,False
FauNDI,True,True,True,False,True,True,False,False
Hin6I,False,False,False,False,False,False,False,False
BspOI,True,True,True,False,True,False,True,False
Cch467III,False,False,False,False,False,False,False,False
Cfupf3II,False,False,False,False,False,False,False,False
Cdi11397I,False,False,False,False,False,False,False,False
PflPt14I,False,False,False,False,False,False,True,True
EcoHI,False,False,False,False,False,False,False,False
Bsh1285I,False,False,False,False,False,False,False,False
BstMCI,False,False,False,False,False,False,False,False
DrdI,False,False,False,False,False,False,False,False
Eco24I,False,False,False,False,False,False,True,True
MhlI,False,False,False,False,False,False,False,False
PstNI,False,False,False,False,False,False,False,False
SinI,False,False,False,False,False,False,False,False
TauI,False,False,False,False,False,False,False,False
CdpI,False,False,False,False,False,False,False,False
Sth302II,False,False,False,False,False,False,False,False
SfoI,False,False,False,False,False,False,False,True
SwaI,False,True,True,True,True,True,True,True
AcvI,True,True,True,True,True,True,True,True
BsaJI,False,False,False,False,False,False,False,False
AatII,False,True,True,True,True,True,False,False
AccB7I,False,False,False,False,False,False,True,False
CjeFV,False,False,False,False,False,False,False,False
DvuIII,True,True,True,True,True,True,True,True
Rba2021I,False,False,False,True,True,False,False,False
Cly7489II,False,False,False,False,False,False,False,False
Tth111II,False,False,False,False,False,False,False,False
PacIII,False,False,False,False,False,False,False,False
Hpy166II,False,False,False,False,False,False,False,False
Eco147I,True,True,True,True,True,True,True,True
RseI,False,False,False,False,False,False,False,False
MlsI,False,False,True,True,True,True,True,False
NlaIV,False,False,False,False,False,False,False,False
PsiI,True,False,False,False,False,False,True,False
BstBAI,False,True,False,False,False,False,True,False
PdiI,True,True,False,False,False,False,True,True
EheI,False,False,False,False,False,False,False,True
SseBI,True,True,True,True,True,True,True,True
MlyI,False,False,False,False,False,False,False,False
Eco57I,False,False,False,False,False,False,False,False
ApoI,False,False,False,False,False,False,True,False
BclI,False,False,False,False,False,False,True,True
CalB3II,False,False,False,False,False,False,False,False
CjeP659IV,False,False,False,False,False,False,False,False
BspD6I,False,False,False,False,False,False,False,False
BceSIV,False,False,False,False,False,False,False,False
ScrFI,False,False,False,False,False,False,False,False
StyI,True,True,False,False,False,True,True,False
Tsp45I,False,False,False,False,False,False,False,False
HphI,False,False,False,False,False,False,False,False
AflII,True,True,True,True,True,True,True,True
BseX3I,True,True,True,True,True,True,True,True
Bsp13I,True,False,False,False,False,True,True,False
Bsp143I,False,False,False,False,False,False,False,False
BssNI,False,False,False,False,False,False,False,False
BstBI,False,True,True,True,True,True,True,True
Rmu369III,False,False,False,False,False,False,False,False
Kor51II,False,False,False,False,False,False,True,True
BsiYI,False,False,False,False,False,False,False,False
AspA2I,True,True,True,True,True,True,True,True
Bsu15I,True,True,True,False,False,False,True,True
Aor13HI,True,False,False,False,False,True,True,False
EcoE1140I,False,False,False,False,False,False,False,False
EgeI,False,False,False,False,False,False,False,True
BsiWI,True,False,True,True,True,True,True,True
BstYI,False,False,False,False,False,False,False,False
Nal45188II,False,False,False,False,False,False,False,False
Hpy178III,False,False,False,False,False,False,False,False
ObaBS10I,False,False,False,False,False,False,False,False
RdeGBII,False,False,False,False,False,False,False,False
Pcr308II,True,False,True,True,True,True,True,True
MspSC27II,False,False,False,False,False,False,True,True
AspBHI,False,False,False,False,False,False,False,False
HspMHR1II,True,True,True,True,True,True,True,True
XcmI,False,False,False,False,False,False,True,True
AhyRBAHI,False,False,False,False,False,False,False,False
Asi256I,False,False,False,False,False,False,False,False
Bse8I,True,False,False,False,False,True,True,True
ScaI,False,False,False,True,True,False,False,False
AfeI,True,False,False,False,False,True,True,True
BmcAI,False,False,False,True,True,False,False,False
SnaI,True,True,False,False,False,True,True,False
UnbI,False,False,False,False,False,False,False,False
CviAII,False,False,False,False,False,False,False,False
EagI,True,True,True,True,True,True,True,True
Bsc4I,False,False,False,False,False,False,False,False
Vdi96II,True,True,False,False,False,False,True,True
Ssp6803IV,False,False,False,False,False,False,False,False
PfrJS12V,False,False,False,False,False,False,False,False
Sen17963III,False,False,False,False,False,False,False,False
Sno506I,False,False,False,True,True,False,False,False
TpyTP2I,False,False,False,True,True,False,False,False
TssI,False,False,False,False,False,False,False,False
HpyAXVI_mut2,False,False,False,False,False,False,False,False
AjiI,True,False,True,True,True,True,True,True
Bpu10I,True,False,False,False,False,True,True,False
HaeII,False,False,False,False,False,False,False,False
NspI,False,False,False,False,False,False,False,False
SacII,True,True,True,True,True,True,True,True
Bsu36I,False,False,True,True,True,True,True,True
Sse9I,False,False,False,False,False,False,False,False
NdeI,True,True,True,False,True,True,False,False
XbaI,True,True,False,False,False,True,True,False
