,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
NlaCI,False,False,False,False,False,False,False,False
TaqI,False,False,False,False,False,False,False,False
MboI,False,False,False,False,False,False,False,False
MspI,False,False,False,False,False,False,False,False
NgoMIV,True,True,False,False,False,False,True,True
XhoI,True,True,True,True,True,True,True,False
SalI,True,True,True,True,True,True,True,True
BstEII,False,False,False,False,False,False,True,True
Aod1I,False,False,False,False,False,False,True,True
Vtu19109I,False,False,False,False,False,False,True,True
XspI,False,False,False,False,False,False,False,False
SlaI,True,True,True,True,True,True,True,False
TasI,False,False,False,False,False,False,False,False
Vha464I,True,True,True,True,True,True,True,True
BfuI,False,False,False,False,False,False,False,False
KroI,True,True,False,False,False,False,True,True
MaeII,False,False,False,False,False,False,False,False
Mly113I,False,False,False,False,False,False,False,True
MspCI,True,True,True,True,True,True,True,True
PagI,False,False,False,False,False,False,False,False
SspDI,False,False,False,False,False,False,False,True
PsiI,True,False,False,False,False,False,True,False
BscGI,False,False,False,False,False,False,False,False
CdpI,False,False,False,False,False,False,False,False
AspDUT2V,False,False,False,False,False,False,False,False
AcuI,False,False,False,False,False,False,False,False
AluBI,False,False,False,False,False,False,False,False
BstAPI,False,False,False,False,False,False,False,False
Hpy99I,False,False,False,False,False,False,False,False
TspRI,False,False,False,False,False,False,False,False
PabI,False,False,False,False,False,False,False,False
FtnUV,False,False,False,False,False,True,False,True
Hpy99XIV,False,False,False,False,False,False,False,False
Lpl1004II,False,False,False,False,False,False,False,False
AvaI,True,False,True,False,False,False,True,False
PfrJS12IV,False,False,False,False,False,False,False,False
Cdu23823II,False,False,False,False,False,False,False,False
Cco14983V,False,False,False,False,False,False,False,False
Cgl13032I,False,False,False,False,False,False,False,False
Cba13II,True,True,False,False,False,False,True,True
BseRI,True,True,True,True,True,True,True,False
BstF5I,False,False,False,False,False,False,False,False
CjeP659IV,False,False,False,False,False,False,False,False
BbvII,False,False,False,False,False,False,True,False
Pal408I,False,False,False,False,False,False,False,False
Ssp6803IV,False,False,False,False,False,False,False,False
AflII,True,True,True,True,True,True,True,True
RdeGBI,False,False,False,False,False,False,False,False
Eli8509II,False,False,False,False,False,False,False,False
Cma23826I,False,False,False,False,False,False,False,False
Rtr1953I,False,False,False,False,False,False,False,False
Ecl234I,False,False,False,False,False,False,False,False
CjeNII,False,False,False,False,False,False,False,False
Bsp24I,False,False,False,False,False,False,False,False
AsuI,False,False,False,False,False,False,False,False
Rsp531II,True,False,True,True,True,True,True,True
TaqIII,False,False,False,False,False,False,False,False
BsiYI,False,False,False,False,False,False,False,False
SphI,True,True,False,False,False,True,True,True
Cfr9I,True,True,True,False,False,True,True,True
